id,CALL_RDD_DAY42TODAY45_CNT,CALL_RDD_DAY42TODAY45_IN,CALL_RDD_DAY42TODAY45_INOUTRATIO,CALL_RDD_DAY42TODAY45_RECORD,CALL_RDD_DAY42TODAY45_TIME,CALL_RDD_DAY42TODAY45_TIME_AVG,CALL_RDD_DAY42TODAY45_TIME_IN,CALL_RDD_DAY42TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY42TODAY45_TIME_VAR
u4364,5,3,0.600000024,1,4.133333206,0.826666653,1.833333373,0.443548381,0.171622217
u3268,8,5,0.625,1,62.73333359,7.841666698,55.5,0.884697139,107.5142365
u4750,41,10,0.243902445,1,271.6333313,6.625203133,57.66666794,0.212295994,99.88864899
u2699,14,8,0.571428597,1,16.11666679,1.151190519,9.316666603,0.578076541,1.257240653
u3314,6,1,0.166666672,1,4.916666508,0.819444418,1.116666675,0.227118641,0.327168196
u1080,6,4,0.666666687,1,4.25,0.708333313,3.533333302,0.831372559,0.253680557
u3785,53,45,0.849056602,1,34.84999847,0.657547176,30.39999962,0.872309923,0.237165257
u4072,3,1,0.333333343,1,1.25,0.416666657,0.416666657,0.333333343,0.015
u3815,8,6,0.75,1,52.71666718,6.589583397,24.58333397,0.466329426,100.3909683
u1101,1,0,0,1,5.366666794,5.366666794,0,0,0
u3294,2,2,1,1,1.133333325,0.566666663,1.133333325,1,0.080277778
u3948,,0,,0,,,0,,
u1179,,0,,0,,,0,,
u0488,,0,,0,,,0,,
u2971,,0,,0,,,0,,
u2739,5,5,1,1,16.11666679,3.223333359,16.11666679,1,29.53362274
u2801,21,10,0.476190478,1,10.66666698,0.507936537,4.400000095,0.412499994,0.117317967
u4020,41,21,0.51219511,1,45.78333282,1.116666675,21.88333321,0.477975965,1.973970175
u2214,34,16,0.470588237,1,80.21666718,2.359313726,27.53333282,0.343237072,11.19774818
u3162,12,11,0.916666687,1,18.20000076,1.516666651,16.70000076,0.917582393,1.590185165
u4701,,0,,0,,,0,,
u2475,41,19,0.463414639,1,45.51666641,1.110162616,25.46666718,0.559502006,2.15917182
u3067,14,5,0.357142866,1,13.0666666,0.933333337,6.983333111,0.534438789,1.10734129
u4347,16,7,0.4375,1,9.199999809,0.574999988,3.616666555,0.393115938,0.148541674
u1070,,0,,0,,,0,,
u1790,46,17,0.369565219,1,56.56666565,1.229710102,17.95000076,0.317324698,1.754008651
u0835,3,1,0.333333343,1,4.400000095,1.466666698,1.183333278,0.268939406,0.090555556
u1039,33,29,0.878787875,1,22.5,0.681818187,20.31666756,0.902962983,0.650679529
u4202,5,5,1,1,0.883333325,0.176666662,0.883333325,1,0.012622222
u0382,17,2,0.117647059,1,53.83333206,3.166666746,4.800000191,0.089164086,11.92153549
u4410,4,3,0.75,1,0.933333337,0.233333334,0.366666675,0.392857134,0.038333334
u3939,22,8,0.363636374,1,77.59999847,3.527272701,23.23333359,0.299398631,30.19486237
u1397,17,5,0.294117659,1,25.04999924,1.473529458,6.449999809,0.257485032,5.064152241
u2282,16,12,0.75,1,55.54999924,3.471874952,52.79999924,0.950495064,26.15950394
u0266,43,14,0.325581402,1,131.9166718,3.06782937,51.29999924,0.388881862,30.62859726
