id,CALL_RDD_DAY40TODAY45_CNT,CALL_RDD_DAY40TODAY45_IN,CALL_RDD_DAY40TODAY45_INOUTRATIO,CALL_RDD_DAY40TODAY45_RECORD,CALL_RDD_DAY40TODAY45_TIME,CALL_RDD_DAY40TODAY45_TIME_AVG,CALL_RDD_DAY40TODAY45_TIME_IN,CALL_RDD_DAY40TODAY45_TIME_INOUTRATIO,CALL_RDD_DAY40TODAY45_TIME_VAR
u4364,8,4,0.5,1,5.883333206,0.735416651,2.099999905,0.356940508,0.146210939
u3268,11,8,0.727272749,1,65.91666412,5.992424011,58.68333435,0.890265465,87.47022247
u4750,47,12,0.255319148,1,391.4166565,8.328014374,171.75,0.438790709,311.6377258
u2699,27,13,0.481481493,1,34.28333282,1.269753098,14,0.408361703,2.228025436
u3314,7,1,0.142857149,1,5.916666508,0.84523809,1.116666675,0.188732401,0.284421772
u1080,14,4,0.285714298,1,10.61666679,0.758333325,3.533333302,0.332810044,0.267132938
u3785,70,58,0.828571439,1,45.33333206,0.647619069,38.01666641,0.83860296,0.246581629
u4072,7,4,0.571428597,1,3.566666603,0.509523809,1.916666627,0.537383199,0.045782313
u3815,8,6,0.75,1,52.71666718,6.589583397,24.58333397,0.466329426,100.3909683
u1101,1,0,0,1,5.366666794,5.366666794,0,0,0
u3294,2,2,1,1,1.133333325,0.566666663,1.133333325,1,0.080277778
u3948,1,0,0,1,2.200000048,2.200000048,0,0,0
u1179,,0,,0,,,0,,
u0488,,0,,0,,,0,,
u2971,,0,,0,,,0,,
u2739,6,6,1,1,17.14999962,2.858333349,17.14999962,1,25.27747726
u2801,27,16,0.592592597,1,15.5,0.57407409,9.233333588,0.595698953,0.185562417
u4020,117,51,0.43589744,1,159.3833313,1.362250686,62.48333359,0.392031789,2.467205048
u2214,44,22,0.5,1,92.51667023,2.102651596,34.26666641,0.37038371,9.306413651
u3162,13,12,0.923076928,1,18.78333282,1.444871783,17.28333282,0.920141995,1.529717326
u4701,,0,,0,,,0,,
u2475,76,38,0.5,1,115.7666702,1.523245573,55.15000153,0.476389289,8.245029449
u3067,35,18,0.514285743,1,24.66666603,0.704761922,14.71666622,0.596621633,0.538199544
u4347,29,15,0.517241359,1,18.78333282,0.647701144,8.666666985,0.461401939,0.249324217
u1070,,0,,0,,,0,,
u1790,62,26,0.419354826,1,84.94999695,1.370161295,38.51666641,0.45340395,1.911829233
u0835,4,1,0.25,1,7.716666698,1.929166675,1.183333278,0.153347731,0.709635437
u1039,55,44,0.800000012,1,55.40000153,1.00727272,47.25,0.852888107,2.638492584
u4202,8,8,1,1,1.850000024,0.231250003,1.850000024,1,0.044544272
u0382,21,2,0.095238097,1,60.23333359,2.868253946,4.800000191,0.079690091,10.39719296
u4410,4,3,0.75,1,0.933333337,0.233333334,0.366666675,0.392857134,0.038333334
u3939,29,12,0.413793117,1,103.4000015,3.565517187,31.43333244,0.303997427,26.39923286
u1397,42,12,0.285714298,1,87,2.071428537,19.64999962,0.225862071,11.06249046
u2282,26,20,0.769230783,1,66.31666565,2.55064106,61.53333282,0.927871346,17.57266045
u0266,66,22,0.333333343,1,166.0833282,2.516414165,66.3666687,0.399598598,21.30831146
u0813,1,1,1,1,10.08333302,10.08333302,10.08333302,1,0
u0234,57,36,0.631578922,1,47.33333206,0.830409348,28.46666718,0.601408422,0.414942712
u4974,60,27,0.449999988,1,49.38333511,0.823055565,20.86666679,0.422544718,0.348389745
u4770,129,80,0.620155036,1,155.6499939,1.206589103,91.06666565,0.585073352,2.585561752
u4723,5,1,0.200000003,1,21.14999962,4.230000019,3.533333302,0.167060673,14.32304478
u4988,,0,,0,,,0,,
u2630,18,9,0.5,1,13.05000019,0.725000024,8.983333588,0.688378036,0.826581776
u2378,16,8,0.5,1,25.45000076,1.590625048,13.23333359,0.519973814,3.621109962
u3532,2,0,0,1,0.483333319,0.24166666,0,0,6.94E-05
u3919,3,3,1,1,1.316666722,0.438888878,1.316666722,1,0.09376543
u0572,35,18,0.514285743,1,44.45000076,1.269999981,26.79999924,0.602924645,2.352790594
u3596,14,9,0.642857134,1,20.39999962,1.45714283,12.46666622,0.611111104,0.470107704
u0492,1,0,0,1,1.149999976,1.149999976,0,0,0
u2627,15,12,0.800000012,1,108.5,7.233333111,103.9833298,0.958371758,108.0571136
u1486,1,1,1,1,0.800000012,0.800000012,0.800000012,1,0
u4547,232,136,0.586206913,1,188.2333374,0.811350584,107.1500015,0.569240332,0.806540251
u1144,28,22,0.785714269,1,56.96666718,2.034523726,53.98333359,0.947630167,5.342657089
u0736,7,5,0.714285731,1,7.466666698,1.066666722,4.900000095,0.65625,0.892777801
u1717,125,52,0.416000009,1,149.5,1.19599998,49.28333282,0.329654396,4.906490803
u0029,,0,,0,,,0,,
u2536,88,46,0.522727251,1,109.9499969,1.249431849,44.58333206,0.405487329,3.744794607
u2829,30,15,0.5,1,17.66666603,0.588888884,9.949999809,0.563207567,0.231987655
u0791,20,4,0.200000003,1,10.01666641,0.500833333,1.383333325,0.138103157,0.075624302
u4341,159,56,0.352201253,1,71.15000153,0.447484285,24.58333397,0.345514178,0.098302543
u0958,46,23,0.5,1,81.6166687,1.774275303,55.40000153,0.67878294,17.83359528
u3516,49,33,0.673469365,1,39.40000153,0.804081619,22.73333359,0.576988161,0.306797385
u4982,6,5,0.833333313,1,4.333333492,0.722222209,4,0.923076928,0.120709874
u4486,4,1,0.25,1,1.116666675,0.279166669,0.016666668,0.014925373,0.027274305
